ID;Início;Fim;Soma dos Mínimos;Soma dos Máximos;Soma das Diferenças;0 Total de Bits;0 Bits Menor;0 Bits Maior;0 Bits Diferença;1 Total de Bits;1 Bits Menor;1 Bits Maior;1 Bits Diferença;2 Total de Bits;2 Bits Menor;2 Bits Maior;2 Bits Diferença;3 Total de Bits;3 Bits Menor;3 Bits Maior;3 Bits Diferença;4 Total de Bits;4 Bits Menor;4 Bits Maior;4 Bits Diferença;5 Total de Bits;5 Bits Menor;5 Bits Maior;5 Bits Diferença;6 Total de Bits;6 Bits Menor;6 Bits Maior;6 Bits Diferença;7 Total de Bits;7 Bits Menor;7 Bits Maior;7 Bits Diferença;8 Total de Bits;8 Bits Menor;8 Bits Maior;8 Bits Diferença;9 Total de Bits;9 Bits Menor;9 Bits Maior;9 Bits Diferença;10 Total de Bits;10 Bits Menor;10 Bits Maior;10 Bits Diferença
1;2;3;5;5;0;;;;;1;2;2;0;1;3;3;0
2;4;7;16;17;1;;;;;1;4;4;0;2;5;6;1;1;7;7;0
3;8;15;43;49;6;;;;;1;8;8;0;3;9;12;3;3;11;14;3;1;15;15;0
4;16;31;106;129;23;;;;;1;16;16;0;4;17;24;7;6;19;28;9;4;23;30;7;1;31;31;0
5;32;63;249;321;72;;;;;1;32;32;0;5;33;48;15;10;35;56;21;10;39;60;21;5;47;62;15;1;63;63;0
6;64;127;568;769;201;;;;;1;64;64;0;6;65;96;31;15;67;112;45;20;71;120;49;15;79;124;45;6;95;126;31;1;127;127;0
7;128;255;1271;1793;522;;;;;1;128;128;0;7;129;192;63;21;131;224;93;35;135;240;105;35;143;248;105;21;159;252;93;7;191;254;63;1;255;255;0
8;256;511;2806;4097;1291;;;;;1;256;256;0;8;257;384;127;28;259;448;189;56;263;480;217;70;271;496;225;56;287;504;217;28;319;508;189;8;383;510;127;1;511;511;0
9;512;1023;6133;9217;3084;;;;;1;512;512;0;9;513;768;255;36;515;896;381;84;519;960;441;126;527;992;465;126;543;1008;465;84;575;1016;441;36;639;1020;381;9;767;1022;255;1;1023;1023;0
