'ID;'2^ID;'decimal;'2^(ID+1)-1;'Total de Bits;'A = decimal * bits;'B = bits / decimal;'A / B;'Potência de 2?;'Bit mais significativo (MSB);'Bit menos significativo (LSB);'n % 2^ID (mod rápido);'Binário com padding;'Distância do início;'Distância do fim;'% entre início e fim;'Paridade de bits;'É primo?;'Meio aritmético;'Meio inferior;'Meio superior;'Média de bits no intervalo;'n & ex (AND);'n | ex (OR);'n ^ ex (XOR);'~n (NOT);'n << 1 (shift left);'n >> 1 (shift right);'Menor com mesmo total de bits;'Maior com mesmo total de bits
'48;'281474976710656;'409118905032525;'562949953421311;'25;'10227972625813125;'0,000000000;'167378278455012194918235897856;'0;'48;'0;'127643928321869;'1011101000001011101101011000000010101111101001101;'127643928321869;'153831048388786;'0,45348;'ímpar;'0;'422212465065983,500;'422212465065983;'422212465065984;'49,000;'409118905032525;'422212465065983;'13093560033458;'-409118905032526;'818237810065050;'204559452516262;'281474993487871;'562949936644096
'49;'562949953421312;'611140496167764;'1125899906842623;'24;'14667371908026336;'0,000000000;'373492706056180737257397813248;'0;'49;'2;'48190542746452;'10001010111101010000111100001011101001001101010100;'48190542746452;'514759410674859;'0,08560;'par;'0;'844424930131967,500;'844424930131967;'844424930131968;'50,000;'611140496167764;'844424930131967;'233284433964203;'-611140496167765;'1222280992335528;'305570248083882;'562949961809919;'1125899839733760
'50;'1125899906842624;'2058769515153876;'2251799813685247;'19;'39116620787923644;'0,000000000;'4238531916526926283226568720384;'0;'50;'2;'932869608311252;'111010100000111000010100001101000000000100111010100;'932869608311252;'193030298531371;'0,82855;'ímpar;'0;'1688849860263935,500;'1688849860263935;'1688849860263936;'51,000;'1495819561732564;'2251799813685247;'755980251952683;'-2058769515153877;'4117539030307752;'1029384757576938;'1125899907104767;'2251795518717952
'51;'2251799813685248;'4216495639600700;'4503599627370495;'30;'126494869188021000;'0,000000000;'17778835478771715888437702688768;'0;'51;'2;'1964695825915452;'1110111110101110000101100100110010111001111000111100;'1964695825915452;'287103987769795;'0,87250;'par;'0;'3377699720527871,500;'3377699720527871;'3377699720527872;'52,000;'3090595732758076;'4503599627370495;'1413003894612419;'-4216495639600701;'8432991279201400;'2108247819800350;'2251800350556159;'4503599623176192
'52;'4503599627370496;'6763683971478124;'9007199254740991;'24;'162328415315474976;'0,000000000;'45747420866030094722741731065856;'0;'52;'2;'2260084344107628;'11000000001111000100011100100011111100011001001101100;'2260084344107628;'2243515283262867;'0,50184;'par;'0;'6755399441055744,000;'6755399441055743;'6755399441055744;'53,000;'4511884157792876;'9007199254740991;'4495315096948115;'-6763683971478125;'13527367942956248;'3381841985739062;'4503599635759103;'9007198717870080
'53;'9007199254740992;'9974455244496707;'18014398509481983;'32;'319182567823894624;'0,000000000;'99489757424467867494822684131328;'0;'53;'0;'967255989755715;'100011011011111011011011010101101011010001111101000011;'967255989755715;'8039943264985276;'0,10739;'par;'0;'13510798882111488,000;'13510798882111487;'13510798882111488;'54,000;'9974455244496707;'13510798882111487;'3536343637614780;'-9974455244496708;'19948910488993414;'4987227622248353;'9007201402224639;'18014398505287680
'54;'18014398509481984;'30045390491869460;'36028797018963967;'31;'931407105247953260;'0,000000000;'902725489808919739930404622172160;'0;'54;'2;'12030991982387476;'1101010101111100001111110011011011001111110000100010100;'12030991982387476;'5983406527094507;'0,66785;'ímpar;'0;'27021597764222976,000;'27021597764222975;'27021597764222976;'55,000;'21038191237128468;'36028797018963967;'14990605781835499;'-30045390491869461;'60090780983738920;'15022695245934730;'18014399583223807;'36028797002186752
'55;'36028797018963968;'44218742292676575;'72057594037927935;'34;'1503437237951003550;'0,000000000;'1955297169946143925165391702130688;'0;'55;'0;'8189945273712607;'10011101000110001011011000111010110001001111111111011111;'8189945273712607;'27838851745251360;'0,22732;'par;'0;'54043195528445952,000;'54043195528445951;'54043195528445952;'56,000;'44218742292676575;'54043195528445951;'9824453235769376;'-44218742292676576;'88437484585353150;'22109371146338287;'36028805608898559;'72057594033733632
'56;'72057594037927936;'138245758910846492;'144115188075855871;'29;'4009127008414548268;'0,000000000;'19111889856835891611038123158405120;'0;'56;'2;'66188164872918556;'111101011001001011100100100000111100101011101011000011100;'66188164872918556;'5869429165009379;'0,91855;'ímpar;'0;'108086391056891904,000;'108086391056891903;'108086391056891904;'57,000;'102216961891882524;'144115188075855871;'41898226183973347;'-138245758910846493;'276491517821692984;'69122879455423246;'72057594306363391;'144115187807420416
'57;'144115188075855872;'199976667976342049;'288230376151711743;'25;'4999416699408551225;'0,000000000;'39990667734920146881773162108813312;'0;'57;'0;'55861479900486177;'1011000110011101011011100001010010000110001001101000100001;'55861479900486177;'88253708175369694;'0,38762;'ímpar;'0;'216172782113783808,000;'216172782113783807;'216172782113783808;'58,000;'199976667976342049;'216172782113783807;'16196114137441758;'-199976667976342050;'399953335952684098;'99988333988171024;'144115188092633087;'288230367561777152
