'ID;'2^ID;'decimal;'2^(ID+1)-1;'Total de Bits;'A = decimal * bits;'B = bits / decimal;'A / B;'Potência de 2?;'Bit mais significativo (MSB);'Bit menos significativo (LSB);'n % 2^ID (mod rápido);'Binário com padding;'Distância do início;'Distância do fim;'% entre início e fim;'Paridade de bits;'É primo?;'Meio aritmético;'Meio inferior;'Meio superior;'Média de bits no intervalo;'n & ex (AND);'n | ex (OR);'n ^ ex (XOR);'~n (NOT);'n << 1 (shift left);'n >> 1 (shift right);'Menor com mesmo total de bits;'Maior com mesmo total de bits
'109;'649037107316853453566312041152512;'1090246098153987172547740458951748;'1298074214633706907132624082305023;'55;'59963535398469294490125725242346140;'0,000000000;'1188636554539993490421356350972116750661889259378560698720433733632;'0;'109;'2;'441208990837133718981428417799236;'11010111000000110101110010001101001101111101111101111010110000111100100000110011110111000001100010010001000100;'441208990837133718981428417799236;'207828116479719734584883623353275;'0,67979;'ímpar;'0;'973555660975280180349468061728768,000;'973555660975280180349468061728767;'973555660975280180349468061728768;'110,000;'765727544495560445764584438375492;'1298074214633706907132624082305023;'532346670138146461368039643929531;'-1090246098153987172547740458951749;'2180492196307974345095480917903496;'545123049076993586273870229475874;'649037107316853471580710550634495;'1298074214633706871103827063341056
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'114;'20769187434139310514121985316880384;'31464123230573852164273674364426950;'41538374868278621028243970633760767;'59;'1856383270603857277692146787501190050;'0,000000000;'989991050668737079894416597614539982856933306727569038925390615150592;'0;'114;'1;'10694935796434541650151689047546566;'1100000111101001101000100010101011101001111010111011110111011100100100110010110000111011001011000001001101011000110;'10694935796434541650151689047546566;'10074251637704768863970296269333817;'0,51494;'ímpar;'0;'31153781151208965771182977975320576,000;'31153781151208965771182977975320575;'31153781151208965771182977975320576;'115,000;'21079529513504196907212681705986758;'41538374868278621028243970633760767;'20458845354774424121031288927774009;'-31464123230573852164273674364426951;'62928246461147704328547348728853900;'15732061615286926082136837182213475;'20769187434139310802352361468592127;'41538374868278620956186376595832832
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'119;'664613997892457936451903530140172288;'919343500840980333540511050618764323;'1329227995784915872903807060280344575;'59;'54241266549617839678890151986507095057;'0,000000000;'845192472538549669237884688019520153719486884506201323763956738519203840;'0;'119;'0;'254729502948522397088607520478592035;'101100010000111100100010010101110010110001001001011110101000001101101110101000011000011111110010111000011111110000100011;'254729502948522397088607520478592035;'409884494943935539363296009661580252;'0,38327;'ímpar;'0;'996920996838686904677855295210258432,000;'996920996838686904677855295210258431;'996920996838686904677855295210258432;'120,000;'919343500840980333540511050618764323;'996920996838686904677855295210258431;'77577495997706571137344244591494108;'-919343500840980333540511050618764324;'1838687001681960667081022101237528646;'459671750420490166770255525309382161;'664613997892457936740133906291884031;'1329227995784915870597964051066650624
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'124;'21267647932558653966460912964485513216;'37650549717742544505774009877315221420;'42535295865117307932921825928971026431;'58;'2183731883629067581334892572884282842360;'0,000000000;'1417563894048202994359054878483823052644121994240997152687194448981791866880;'0;'124;'2;'16382901785183890539313096912829708204;'11100010100110011101101101011101101111111000010000000010011100000100110010110000000100010010111100100010010000111011110101100;'16382901785183890539313096912829708204;'4884746147374763427147816051655805011;'0,77032;'par;'0;'31901471898837980949691369446728269824,000;'31901471898837980949691369446728269823;'31901471898837980949691369446728269824;'125,000;'27016725751463217522543553395072464812;'42535295865117307932921825928971026431;'15518570113654090410378272533898561619;'-37650549717742544505774009877315221421;'75301099435485089011548019754630442840;'18825274858871272252887004938657610710;'21267647932558653966605028152561369087;'42535295865117307785347873339294613504
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'129;'680564733841876926926749214863536422912;'1103873984953507439627945351144005829577;'1361129467683753853853498429727072845823;'65;'71751809021977983575816447824360378922505;'0,000000000;'1218537774657136426713648369252847943476548880280921583937319815298627730931712;'0;'129;'0;'423309251111630512701196136280469406665;'1100111110011101100110010101110000010100110101100111110000010011110010100010111000100011001111100010010111110001100000001111001001;'423309251111630512701196136280469406665;'257255482730246414225553078583067016246;'0,62200;'ímpar;'0;'1020847100762815390390123822295304634368,000;'1020847100762815390390123822295304634367;'1020847100762815390390123822295304634368;'130,000;'763591618032568976164570743712237618121;'1361129467683753853853498429727072845823;'597537849651184877688927686014835227702;'-1103873984953507439627945351144005829578;'2207747969907014879255890702288011659154;'551936992476753719813972675572002914788;'680564733841876926945195958937245974527;'1361129467683753853816604941579653742592
